"recordID","TITLE","JOURNAL","YEAR","KEYWORDS"
8847,"Vegetation and climate characteristics of arid and semi-arid grasslands in North America and their biome transition zone","Journal of Arid Environments",2002,"SEV"
8848,"Vegetation and climate characteristics of arid and semi-arid grasslands in North America and their biome transition zone",NA,2002,"JRN"
6473,"Variation in torpor patterns of free-ranging black-tailed and Utah prairie dogs across gradients of elevation","Journal of Mammalogy",2005,"SGS"
6474,"Variation in torpor patterns of free-ranging black-tailed and Utah prairie dogs across gradients of elevation",NA,2005,"SGS"
9579,"Variation among biomes in temporal dynamics of aboveground primary production","Science",2001,"CDR, KBS"
9580,"Variation among biomes in temporal dynamics of aboveground primary production",NA,2001,"ARC, HBR, KBS, KNZ, LTER Publication, SEV"
9581,"Variation among biomes in temporal dynamics of aboveground primary production",NA,2001,"ARC, HBR, KNZ"
9582,"Variation among biomes in temporal dynamics of aboveground primary production",NA,2001,"ARC, HBR, KNZ, SEV"
9583,"Variation among biomes in temporal dynamics of aboveground primary production",NA,2001,"HBR, KNZ"
9584,"Variation among biomes in temporal dynamics of aboveground primary production",NA,2001,"KNZ, primary production"
19027,"Values and limitations of clipped quadrats",NA,1933,"clipped quadrats, JRN, technique"
19028,"Values and limitations of clipped quadrats",NA,1933,"intensities, JRN"
5645,"Using soil profiles of seeds and molecular markers as proxies for sawgrass and wet prairie slough vegetation in Shark Slough, Everglades National Park","Hydrobiologia",2006,"biomarkers, cladium, everglades, FCE, paleoecology, slough"
5646,"Using soil profiles of seeds and molecular markers as proxies for sawgrass and wet prairie slough vegetation in Shark Slough, Everglades National Park",NA,2006,"biomarkers, cladium, everglades, FCE, paleoecology, slough"
8081,"Using Mechanistic Models to Scale ecological processes across space and time",NA,2003,"ARC, JRN"
8080,"Using mechanistic models to scale ecological processes across space and time","Bioscience",2003,"SEV"
8082,"Using mechanistic models to scale ecological processes across space and time",NA,2003,"JRN, spatial projection"
8083,"Using mechanistic models to scale ecological processes across space and time",NA,2003,"ARC, JRN, SGS"
3897,"Urbanization and spider diversity: Influences of human modification of habitat structure and productivity",NA,2008,"CAP"
7255,"Urbanization and spider diversity: Influences of human modification of habitat structure and productivity","Ecological Applications",2004,"CAP"
5635,"Urban food webs: Predators, prey, and the people who feed them",NA,2006,"CAP"
5634,"Urban food webs: predators, prey, and the people who feed them","Symposia",2006,"BES, food webs, urban"
3894,"Urban ecology as an interdisciplinary field: Differences in the use of ""urban"" between the social and natural sciences",NA,2008,"CAP"
10291,"Urban ecology as an interdisciplinary field: Differences in the use of ""urban"" between the social and natural sciences","Urban Ecosystems",2000,"CAP"
9567,"Urban-suburban ecology",NA,2001,"BES, ecology, urban"
9568,"Urban-suburban ecology",NA,2001,"CAP"
256,"Unraveling the dark septate endophyte functions: Insights from the Arabidopsis model",NA,2014,"KNZ"
636,"Unraveling the dark septate endophyte functions: Insights from the Arabidopsis model",NA,2013,"KNZ"
7251,"Unified Framework II: Ecosystem processes: a link between species and landscape diversity.",NA,2004,"HBR, LNO"
7250,"Unified Framework II: Ecosystem processes: a link between species and landscape diversity",NA,2004,"LUQ"
634,"Unexpectedly high among-habitat spider (Araneae) faunal diversity from the Arctic Long-Term Experimental Research (LTER) field station at Toolik Lake, Alaska, United States of America",NA,2013,"ARC"
635,"Unexpectedly high among-habitat spider (Araneae) faunal diversity from the Arctic Long-Term Experimental Research (LTER) field station at Toolik Lake, Alaska, United States of America",NA,2013,"ARC"
8060,"Understanding urban ecosystems: a new frontier for science and education",NA,2003,"BES, ecosystem, education, urban"
10979,"Understanding urban ecosystems: a new frontier for science and education","Urban Ecosystems",1999,"BES, ecosystem, ecosystems, education, urban"
5623,"Uncertainty in calculations of net primary production for grasslands","Ecosystems",2006,"SGS"
5624,"Uncertainty in calculations of net primary production for grasslands",NA,2006,"SGS"
8821,"Typical freshwater bacteria: an analysis of available 16S rRNA gene sequences from plankton of freshwater lakes and rivers.","Aquatic Microbial Ecology",2002,"16s rrna, ARC, bacteria, genome, lakes, PIE, PIE LTER, rivers"
8822,"Typical freshwater bacteria: an analysis of available 16S rRNA gene sequences from plankton of freshwater lakes and rivers",NA,2002,"ARC"
6450,"Trophic dynamics in urban communities","BioScience",2005,"BES, dynamics, urban"
6451,"Trophic dynamics in urban communities",NA,2005,"CAP"
9556,"Tree mortality in gap models: Application to climate change","Climatic Change",2001,"SEV"
9557,"Tree mortality in gap models: Application to climate change",NA,2001,"JRN"
8048,"Transitions in rangeland evaluations: A review of the major transitions in rangeland evaluations during the last 25 years and speculation about future evaluations",NA,2003,"JRN, transition"
7232,"Transitions in rangeland evaluations: a review of the major transitions in rangeland evaluations during the last 25 years and speculation about future evaluations","Rangelands",2004,"JRN, transitions"
14176,"Transient storage in Appalachian and Cascade mountain streams as related to hydraulic characteristics",NA,1993,"CWT"
14177,"Transient storage in Appalachian and Cascade mountain streams as related to hydraulic characteristics",NA,1993,"AND, modeling"
628,"Tracking carbon within the trees",NA,2013,"ARC"
629,"Tracking carbon within the trees",NA,2013,"ARC"
6446,"Toward a unified framework in biodiversity studies",NA,2005,"BES, biodiversity"
6447,"Toward a unified framework in biodiversity studies",NA,2005,"SEV"
8043,"Top-down is bottom-up: Does predation in the rhizosphere regulate aboveground production?",NA,2003,"ARC"
8042,"Top-down is bottom-up: Does predation in the rhizosphere regulate aboveground production","Ecology",2003,"SGS"
1557,"Thinking outside the channel: Modeling nitrogen cycling in networked river ecosystems",NA,2011,"KNZ, PIE, PIE LTER; inorganic nitrogen;nitrogen cycling modeling; rivers"
1556,"Thinking outside the channel: modeling nitrogen cycling in networked river ecosystems",NA,2011,"KNZ"
1558,"Thinking outside the channel: modeling nitrogen cycling in networked river ecosystems","Frontiers in Ecology and the Environment",2011,"AND"
10320,"The world beneath our feet: Soil biodiversity and ecosystem functioning",NA,2000,"biodiversity, JRN, soil"
11009,"The world beneath our feet: Soil biodiversity and ecosystem functioning",NA,1999,"MCM"
2207,"The value of spatial information in MPA network design","Proceedings of the National Academy of Sciences of the United States of America",2010,"SBC"
2208,"The value of spatial information in MPA network design",NA,2010,"SBC"
8068,"The US Long Term Ecological Research Program","Bioscience",2003,"CAP, NTL, NWT, SEV"
8069,"The US Long Term Ecological Research Program",NA,2003,"CAP, NWT, SEV"
8070,"The US Long Term Ecological Research Program",NA,2003,"CAP, Long-term Ecological Research, LTER Accomplishments, LTER Description, LTER History, LTER NETWORK, NWT"
8071,"The US Long Term Ecological Research program",NA,2003,"CAP"
3816,"The spread of invasive species and infectious disease as drivers of ecosystem change","Frontiers in Ecology and the Environment",2008,"SEV"
3817,"The spread of invasive species and infectious disease as drivers of ecosystem change",NA,2008,"journal, JRN"
4603,"The southernmost worm, Scottnema lindsayae (Nematoda): diversity, dispersal and ecological stability.",NA,2007,"MCM"
4602,"The southernmost worm, Scottnema lindsayae (Nematoda): diversity, dispersal and ecological stability","Polar Biology",2007,"MCM"
18365,"The role of salamanders in ecosystem structure and function in the Hubbard Brook Experimental Forest in New Hampshire",NA,1974,"HBR"
18449,"The role of salamanders in ecosystem structure and function in the Hubbard Brook Experimental Forest in New Hampshire",NA,1973,"HBR"
570,"The role of light in mediating the effects of ocean acidification on coral calcification.",NA,2013,"bicarbonate, climate change, disturbance, growth, juvenile coral, MCR, Pocillopora damicornis, population, scleractinia"
571,"The role of light in mediating the effects of ocean acidification on coral calcification.","Journal of Experimental Biology",2013,"bicarbonate, climate change, disturbance, growth, juvenile coral, MCR, Pocillopora damicornis, population, scleractinia"
6303,"The response of alpine plants to environmental change: Feedbacks to ecosystem function",NA,2005,"book chapter, NWT, NWTLTER"
7913,"The response of alpine plants to environmental change - Feedbacks to ecosystem function.",NA,2003,"NWT, NWTLTER"
16887,"The relative contributions of termites and microarthropods to fluff grass litter disappearance in the Chihuahuan Desert","Oecologia",1985,"decomposition, JRN, termite"
17101,"The relative contributions of termites and microarthropods to fluff grass litter disappearance in the Chihuahuan Desert",NA,1984,"JRN"
10818,"The relationship between productivity and species richness",NA,1999,"BNZ"
10819,"The relationship between productivity and species richness",NA,1999,"ARC"
10820,"The relationship between productivity and species richness","Annual Review of Ecology and Systematics",1999,"biodiversity, BNZ, ecosystem processes, functional groups, NTL, primary productivity"
10816,"The relationship between primary productivity and species richness","Annual Reviews of Ecology and Systematics",1999,"LUQ, SEV"
10817,"The relationship between primary productivity and species richness",NA,1999,"SEV"
1455,"The present and future role of coastal wetland vegetation in protecting shorelines: answering recent challenges to the paradigm","Climatic Change",2011,"earth and environmental science, GCE, VCR"
1456,"The present and future role of coastal wetland vegetation in protecting shorelines: answering recent challenges to the paradigm",NA,2011,"coastal, GCE, protection, shoreline, wetland"
6266,"The potential role of plant oxygen and sulphide dynamics in die-off events of the tropical seagrass, Thalassia testudinum","Journal of Ecology",2005,"die-back of wetland plants, FCE, microelectrodes, oxygen, seagrass die-off, sediment"
6267,"The potential role of plant oxygen and sulphide dynamics in die-off events of the tropical seagrass, Thalassia testudinum",NA,2005,"die-back of wetland plants, FCE, microelectrodes, oxygen, seagrass die-off, sediment"
18978,"The naturalization of roadbanks.",NA,1942,"CWT"
18979,"The naturalization of roadbanks.",NA,1942,"CWT"
2682,"The Long-Term Ecological Research community metadata standardisation project: a progress report","International Journal of Metadata, Semantics and Ontologies",2009,"AND, ARC, BES, BNZ, CCE, GCE, HBR, LNO, LUQ, PIE, SBC, SEV"
2683,"The long-term ecological research community metadata standardisation project: a progress report",NA,2009,"AND, ARC, BES"
14847,"The influence of landscape position on temporal variability in four North American ecosystems","American Naturalist",1991,"ecosystem, hubbard brook experimental forest, jornada desert, LTER, north inlet estuary, NTL, spatial positioning, variability, water movement, wisconsin lakes"
14848,"The influence of landscape position on temporal variability in four North American ecosystems",NA,1991,"HBR, JRN"
14849,"The influence of landscape position on temporal variability in four North American ecosystems",NA,1991,"JRN, temporal variability"
814,"The inclusion of differentially assessed lands in urban growth model calibration: a comparison of two approaches using SLEUTH",NA,2012,"FCE"
815,"The inclusion of differentially assessed lands in urban growth model calibration: a comparison of two approaches using SLEUTH","International Journal of GIS",2012,"FCE"
7665,"The Importance of Land-Use Legacies to Ecology and Conservation","BioScience",2003,"conservation, disturbance, ecosystem process, HFR, historical \& retrospective studies, land use, large experiments, LTER3, LUQ, natural resource management"
7662,"The importance of land-use legacies to ecology and conservation",NA,2003,"KNZ"
7663,"The importance of land-use legacies to ecology and conservation",NA,2003,"KNZ, SGS"
7664,"The importance of land-use legacies to ecology and conservation",NA,2003,"KNZ, LUQ"
436,"The impacts of nutrient enrichment and a thermokarst failure on epipelic algae in Arctic lakes of differing morphometry",NA,2013,"ARC"
437,"The impacts of nutrient enrichment and a thermokarst failure on epipelic algae in Arctic lakes of differing morphometry",NA,2013,"ARC"
8451,"The illusion of preservation: a global environmental argument for the local production of natural resources","Journal of Biogeography",2002,"HFR, LTER3, office bibliography, regional studies"
8452,"The illusion of preservation:  a global environmental argument for the local production of natural resources",NA,2002,"HFR, LTER3, office bibliography, PDF, regional studies"
5098,"The hidden forest: the biography of an ecosystem",NA,2006,"AND, ecology"
10610,"The hidden forest: the biography of an ecosystem",NA,1999,"AND, ecology"
6025,"The heterozygosity theory of extra-pair mate choice in birds: a test and a cautionary note","Journal of Avian Biology",2005,"HBR"
6026,"The heterozygosity theory of extra-pair mate choice in birds: a test and a cautionary note",NA,2005,"HBR"
7581,"The forests of presettlement New England, USA: spatial and compositional patterns based on town proprietor surveys","J. Biogeography",2003,"HBR, HFR"
8402,"The forests of presettlement New England, USA:  spatial and compositional patterns based on town proprietor surveys",NA,2002,"HFR, historical \& retrospective studies, historical ecology, LTER3, office bibliography, PDF, regional studies"
3300,"The Everglades Ecosystem and the Politics of Nature","American Anthropologist",2008,"bureaucracy, ecosystems, environmental policy, FCE, florida everglades"
3301,"The Everglades Ecosystem and the Politics of Nature",NA,2008,"bureaucracy, ecosystems, environmental policy, FCE, florida everglades"
1820,"The engaged university: providing a platform for research that transforms society",NA,2010,"SBC"
1821,"The engaged university: providing a platform for research that transforms society","Frontiers in Ecology and the Environment",2010,"FCE"
191,"The effects of water flow and sedimentation on interactions between massive Porites and algal turf.","Coral Reefs",2014,"algal turf, coral{\textendash}algal interactions, disturbance, hydrodynamics, MCR, population, Porites, sedimentation"
762,"The effects of water flow and sedimentation on interactions between massive Porites and algal turf.",NA,2012,"disturbance, MCR, population"
15901,"The effects of leaching and whole-tree harvesting on cation budgets of several forests.","Journal of Environmental Quality",1988,"CWT, HBR"
15902,"The effects of leaching and whole-tree harvesting on cation budgets of several forests",NA,1988,"HBR"
4139,"THE EFFECTS OF LANDSCAPE STRUCTURE ON SPACE COMPETITION AND ALTERNATIVE STABLE STATES","Ecology",2007,"SBC"
4140,"The effects of landscape structure on space competition and alternative stable states",NA,2007,"MCR, populations"
5906,"The effects of herbivores on seed banks in a grassland and shrubland",NA,2005,"SEV"
5907,"The effects of herbivores on seed banks in a grassland and shrubland",NA,2005,"SEV"
1177,"The Effects of Fertilization and Simulated Grazing on the Community Structure of a Seagrass Bed in South Florida",NA,2011,"eutrophication, FCE, grazing, herbivory, nutrient addition, seagrass"
1178,"The Effects of Fertilization and Simulated Grazing on the Community Structure of a Seagrass Bed in South Florida",NA,2011,"eutrophication, FCE, grazing, herbivory, nutrient addition, seagrass"
12374,"The effect of nitrogen fertilization on the phenology of roots in a barrier island sand dune community","Plant and Soil",1996,"VCR"
13399,"The effect of nitrogen fertilization on the phenology of roots in a barrier island sand dune community",NA,1994,"VCR"
13397,"The effect of human activity on the structure and composition of a tropical forest in Puerto Rico","Forest Ecology and Management",1994,"LUQ"
14741,"The effect of human activity on the structure and composition of a tropical forest in Puerto Rico",NA,1991,"LUQ"
6669,"The DIRT experiment: litter and root influences on forest soil organic matter stocks and function",NA,2004,"AND, soil processes"
6668,"The DIRT experiment:  litter and root influences on forest soil organic matter stocks and function",NA,2004,"dirt, HFR, large experiments, LTER3"
9023,"The DIRT experiment:  litter and root influences on forest soil organic matter stocks and function",NA,2001,"HFR, LTER2"
11136,"The development and use of best practices in forest watersheds using GIS and simulation models.","Proceedings of the International Symposium on Comprehensive Watershed Management",1998,"CWT"
11137,"The development and use of best practices in forest watersheds using GIS and simulation models",NA,1998,"CWT"
10454,"The determination of microbial biomass",NA,1999,"KBS"
10455,"The determination of microbial biomass",NA,1999,"BNZ"
4857,"The contribution of leaching to the rapid release of nutrients and carbon in the early decay of wetland vegetation","Hydrobiologia",2006,"everglades, FCE, leaf decomposition, nitrogen, north inlet, organic carbon, phosphorus"
4858,"The contribution of leaching to the rapid release of nutrients and carbon in the early decay of wetland vegetation",NA,2006,"everglades, FCE, leaf decomposition, nitrogen, north inlet, organic carbon, phosphorus"
16460,"The contribution of crassulacean acid metabolism to the annual productivity of two aquatic vascular plants","Oecologia",1986,"LTER, macrophytes, NTL, physcial limnology, trout lake, water chemistry, weber lake"
16982,"The contribution of crassulacean acid metabolism to the annual productivity of two aquatic vascular plants",NA,1984,"NTL"
12834,"The chemistry of aluminum in surface waters",NA,1995,"HBR"
15490,"The chemistry of aluminum in surface waters",NA,1989,"HBR"
3099,"The changing landscape: Ecosystem responses to urbanization and pollution across climatic and societal gradients",NA,2008,"CAP, JRN, SEV"
3101,"The changing landscape: Ecosystem responses to urbanization and pollution across climatic and societal gradients",NA,2008,"CAP"
3098,"The changing landscape: ecosystem responses to urbanization and pollution across climatic and societal gradients","Frontiers in Ecology and the Environment",2008,"BES, ecosystem, gradient, landscape, urbanization"
3100,"The changing landscape: ecosystem responses to urbanization and pollution across climatic and societal gradients",NA,2008,"CAP, JRN, societal"
2294,"The biogeochemical influences of nitrate, dissolved oxygen, and dissolved organic carbon on stream nitrate uptake.","Journal of the North American Benthological Society",2009,"dissolved organic carbon, dissolved oxygen, inorganic nutrients, net nutrient uptake, nitrate, nitrate uptake, organic matter, PIE, PIE LTER, priming effect, solute addition"
3063,"The biogeochemical influences of nitrate, dissolved oxygen, and dissolved organic carbon on stream nitrate uptake.",NA,2008,"carbon, inorganic nutrients, nitrate, nitrogen, oxygen, PIE, PIE LTER"
16705,"The benthic micrometazoans of Mirror Lake, New Hampshire","Arch. Hydrobiol.",1985,"HBR"
16964,"The benthic micrometazoans of Mirror Lake, New Hampshire",NA,1984,"HBR"
5719,"The balance between productivity and food web structure in soil ecosystems",NA,2005,"ARC"
5720,"The balance between productivity and food web structure in soil ecosystems",NA,2005,"ARC"
18182,"The assumptions and rationales of a computer model of phytoplankton population dynamics",NA,1975,"HBR"
18299,"The assumptions and rationales of a computer model of phytoplankton population dynamics",NA,1974,"HBR"
9618,"The application of ecological principles to urban and urbanizing landscapes","Ecological Applications",2000,"baltimore, BES, concept, ecological research, ecology, land cover, landscape, research, urban"
9619,"The application of ecological principles to urban and urbanizing landscapes",NA,2000,"CAP"
1551,"Testosterone mediates mating success in Greater Prairie-Chickens",NA,2011,"KNZ"
1552,"Testosterone mediates mating success in Greater Prairie-Chickens","Studies in Avian Biology",2011,"KNZ"
5594,"Terrestrial ecosystem processes of Victoria Land, Antarctica","Soil Biology and Biochemistry",2006,"MCM"
5595,"Terrestrial ecosystem processes of Victoria Land, Antarctica",NA,2006,"MCM"
8799,"Temporal variability of climate at the US Long-Term Ecological Research (LTER) sites","Climate Research",2002,"AND, El Nino, Southern Oscillation (enso)"
8800,"Temporal variability of climate at the US Long-Term Ecological Research (LTER) sites",NA,2002,"Antarctica, climate variability, climatic trends, LTER, NWT, NWTLTER, Puerto Rico, United States"
2173,"Temporal and Spatial Variability of Mesozooplankton in a Shallow Sub-Tropical Bay: Influence of Top-Down Control","Estuaries and Coasts",2010,"FCE"
2174,"Temporal and Spatial Variability of Mesozooplankton in a Shallow Sub-Tropical Bay: Influence of Top-Down Control",NA,2010,"FCE"
13252,"Temporal and spatial variability as neglected ecosystem properties: Lessons learned from 12 North American ecosystems",NA,1995,"ecosystem health, Niwot Ridge, NWT, NWTLTER, variability"
13253,"Temporal and spatial variability as neglected ecosystem properties: Lessons learned from 12 North American ecosystems",NA,1995,"JRN, reports"
13254,"Temporal and spatial variability as neglected ecosystem properties: lessons learned from 12 North American ecosystems",NA,1995,"BNZ"
13255,"Temporal and spatial variability as neglected ecosystem properties: lessons learned from 12 North American ecosystems",NA,1995,"AND, temporal, variability"
13256,"Temporal and spatial variability as neglected ecosystem properties:  lessons learned from 12 North American ecosystems",NA,1995,"NTL"
617,"Synchrony in dynamics of giant kelp forests is driven by both local recruitment and regional environmental controls",NA,2013,"SBC"
618,"Synchrony in dynamics of giant kelp forests is driven by both local recruitment and regional environmental controls",NA,2013,"SBC"
6426,"Synchrony and seasonality in bacterioplankton communities of two temperate rivers.","Limnol. Oceanogr.",2005,"ARC"
6427,"Synchrony and seasonality in bacterioplankton communities of two temperate rivers.",NA,2005,"PIE, PIE LTER; population dynamics; bacterioplankton; estuaries; bacterial production; 16S rDNA"
615,"Symbiodinium clade D correlates with a high cumulative frequency of thermal stress in Montipora but not Porites in Hawaii.","Ecology and Evolution",2013,"disturbance, MCR, population"
616,"Symbiodinium clade D correlates with a high cumulative frequency of thermal stress in Montipora but not Porites in Hawaii.",NA,2013,"disturbance, MCR, population"
7216,"Sustaining Biodiversity and Ecosystem Services in Soil and Sediments.",NA,2004,"MCM"
7215,"Sustaining Biodiversity and Ecosystem Services in Soil and Sediments",NA,2004,"MCM"
5583,"Sustainable management of insect herbivores in grassland ecosystems: new perspectives in grasshopper control","BioScience",2006,"KNZ"
5584,"Sustainable management of insect herbivores in grassland ecosystems: new perspectives in grasshopper control",NA,2006,"KNZ"
613,"Sustainable Agriculture",NA,2013,"KBS"
9538,"Sustainable agriculture",NA,2001,"KBS"
611,"Surface exposure to sunlight stimulates CO2 release from permafrost soil carbon in the Arctic",NA,2013,"ARC"
612,"Surface exposure to sunlight stimulates CO2 release from permafrost soil carbon in the Arctic",NA,2013,"ARC"
11663,"Surface energy balance and meltwater production for a Dry Valley glacier, Taylor Valley, Antarctica","Annals of Glaciology",1998,"MCM"
12737,"Surface energy balance and meltwater production for a dry valley glacier, Taylor Valley, Antarctica",NA,1996,"MCM"
15751,"Suppression of mycorrhizal fungus spore germination in nonsterile soil: relationship to mycorrhizal growth response in big bluestem",NA,1989,"KNZ"
16126,"Suppression of mycorrhizal fungus spore germination in non-sterile soil: relationship to mycorrhizal growth response in big bluestem","Mycologia",1988,"KNZ"
4640,"Support vector machines for recognition of semi-arid vegetation types using MISR multi-angle imagery","Remote Sensing of Environment",2007,"JRN, support vector machine"
4641,"Support vector machines for recognition of semi-arid vegetation types using MISR multi-angle imagery",NA,2007,"JRN, remote sensing, vegetation types"
8023,"Supply-side sustainability",NA,2003,"NTL"
8024,"Supply-side sustainability",NA,2003,"NTL"
10955,"Supply-side sustainability","Systems Research and Behavioral Science.",1999,"NTL"
609,"Summertime influences of tidal energy advection on the surface energy balance in a mangrove forest",NA,2013,"FCE"
610,"Summertime influences of tidal energy advection on the surface energy balance in a mangrove forest","Biogeosciences",2013,"FCE"
8020,"Substituting root numbers for length: improving the use of minirhizotrons to study fine root dynamics.","Applied Soil Ecology",2003,"BNZ, CWT"
8021,"Substituting root numbers for length: Improving the use of minirhizotrons to study fine root dynamics",NA,2003,"BNZ"
7210,"Subdominant species distribution in microsites around two lifeforms at a desert grassland-shrubland transition zone","Journal of Vegetation Science",2004,"SEV"
7211,"Subdominant species distribution in microsites around two lifeforms at a desert grassland-shrubland transition zone",NA,2004,"JRN, spatial heterogeneity"
5572,"Structural asymmetry and the stability of diverse food webs","Nature",2006,"SGS"
5573,"Structural asymmetry and the stability of diverse food webs",NA,2006,"ARC"
4629,"Stream insect occupancy-frequency patterns and metapopulation structure",NA,2007,"KNZ, SEV"
4630,"Stream insect occupancy-frequency patterns and metapopulation structure",NA,2007,"SEV"
4631,"Stream insect occupancy-frequency patterns and metapopulation structure","Oecologia",2007,"aquatic insect, ARC, distribution, sampling intensity, satellite, spatial scale"
4628,"Stream Food Webs",NA,2007,"ARC"
12731,"Stream food webs",NA,1996,"ARC"
2928,"Stream dissolved organic matter bioavailability and composition in watersheds underlain with discontinuous permafrost","Biogeochemistry",2009,"BNZ, FCE"
2927,"Stream dissolved organic matter bioavailability and composition in watersheds underlain with discontinuous  permafrost",NA,2009,"bioavailability, boreal forest, discontinuous permafrost, dissolved organic matter, FCE, fluorescence, thermokarst"
3832,"Stream denitrification across biomes and its response to anthropogenic nitrate loading.",NA,2008,"CAP, KNZ, PIE, PIE LTER; disturbance; inorganic nutrients; nitrogen; nitrogen isotopes; stream network, SEV"
3831,"Stream denitrification across biomes and its response to anthropogenic nitrate loading","Nature",2008,"LUQ"
3833,"Stream denitrification across biomes and its response to anthropogenic nitrate loading",NA,2008,"KNZ, SEV"
3834,"Stream denitrification across biomes and its response to anthropogenic nitrate loading",NA,2008,"CAP, KNZ, SEV"
3835,"Stream denitrification across biomes and its response to anthropogenic nitrate loading",NA,2008,"AND, CAP, KNZ, SEV"
3836,"Stream denitrification across biomes and its response to anthropogenic nitrate loading",NA,2008,"SEV"
605,"Stratification Influences on Instream Chemistry and Export within a Beaded Arctic Stream",NA,2013,"ARC"
606,"Stratification Influences on Instream Chemistry and Export within a Beaded Arctic Stream",NA,2013,"ARC"
7204,"Strategies for ecological extrapolation","Oikos",2004,"SEV"
7205,"Strategies for ecological extrapolation",NA,2004,"JRN"
3827,"Stoichiometry of soil enzyme activity at global scale","Ecology Letters",2008,"CDR, MCM"
3828,"Stoichiometry of soil enzyme activity at global scale",NA,2008,"CDR, SEV"
3829,"Stoichiometry of soil enzyme activity at global scale",NA,2008,"SEV"
10945,"Standard Soil Methods for Long-Term Ecological Research",NA,1999,"CWT, KBS"
10946,"Standard soil methods for long-term ecological research",NA,1999,"AND, decomposition"
604,"Stable isotopes reveal trophic relationships and diet of consumers in temperate kelp forest and coral reef ecosystems.","Oceanography",2013,"consumers, coral reefs, d15N, kelp forests, MCR, populations, stable isotopes, trophic linkages"
603,"Stable isotopes reveal trophic relationships and diet of consumers in temperate kelp forest and coral reef ecosystems",NA,2013,"SBC"
15008,"Stable isotope diagrams of freshwater food webs","Ecology",1991,"ARC, CWT, KNZ, NTL, NWT"
15009,"Stable isotope diagrams of freshwater food webs",NA,1991,"ARC, KNZ"
15010,"Stable isotope diagrams of freshwater food webs",NA,1991,"ARC, CWT, KNZ"
15011,"Stable isotope diagrams of freshwater food webs",NA,1991,"KNZ"
